939,0
570,0
2113,0
928,0
1132,0
2615,1
1594,1
1276,0
489,0
3919,0
1556,0
2703,0
2538,1
612,1
3302,0
2850,0
1144,0
2783,0
1562,1
1738,1
1767,0
267,0
3470,1
1842,0
2055,0
2891,0
853,0
435,1
1757,1
3027,1
1822,1
2284,0
3082,0
3624,0
1987,1
3816,0
878,1
76,1
1929,0
1162,1
3722,1
1777,0
2840,0
3395,0
3488,0
3698,1
2948,0
2957,0
3899,0
3643,0
1497,0
1690,1
2224,1
773,0
2394,0
1123,1
2568,0
1764,1
2335,0
3398,0
946,0
963,1
260,0
3464,1
786,0
3028,0
73,0
2647,1
2390,1
3598,1
1099,0
1640,1
1903,0
1329,0
3633,1
639,1
2700,0
211,0
1223,1
945,1
1224,1
2246,0
2193,0
3243,0
2717,0
3714,1
2377,0
196,1
706,0
440,0
804,0
3595,1
590,0
811,1
2302,1
1581,0
1788,0
3185,0
2970,0
2973,0
2745,0
3317,0
2385,1
908,1
3465,1
1312,0
2039,1
3771,0
3007,1
879,1
2693,0
2695,0
3550,1
3882,1
955,0
1670,1
751,0
2310,0
1934,1
1279,0
3739,0
1544,1
703,0
2230,0
744,0
2085,0
1064,0
1808,1
3842,1
3881,0
1702,0
2325,0
817,0
1239,0
766,1
1967,0
865,1
505,0
1574,0
3133,1
3386,1
510,1
119,1
1717,1
3631,1
2738,1
2120,0
271,0
2601,0
557,0
2453,0
3047,1
2928,0
1142,1
584,0
771,0
3152,0
3718,0
3486,0
3450,1
3664,1
1784,0
1112,0
815,0
1886,0
1763,0
2437,0
3268,1
401,0
1087,0
3799,1
1715,1
1214,0
3929,1
1673,0
2300,0
3921,0
3184,0
1726,0
3768,1
2144,0
2366,0
302,0
170,0
3680,0
3273,1
856,1
110,0
3361,0
3875,0
1165,0
1085,1
226,0
343,1
272,0
285,1
2478,0
1429,1
2803,0
3423,1
3346,0
2063,1
124,1
2341,1
2974,1
2960,0
601,0
2333,1
2274,1
3444,0
3774,1
1754,0
3811,0
365,0
1086,0
1106,1
1197,0
2293,1
265,1
892,0
48,1
1029,0
289,0
1772,1
2447,0
3013,0
1301,1
931,0
2907,1
3193,1
3528,1
1308,0
969,0
369,1
1627,0
3434,1
1003,0
233,1
3005,0
2643,1
3100,1
647,0
1636,0
1750,0
952,0
3821,0
1001,0
1262,0
2456,1
1378,1
2201,0
3378,0
790,0
187,0
3935,0
1238,1
1954,1
1454,1
3098,1
130,0
3069,0
2896,1
2506,1
894,0
1137,0
998,1
3665,0
2294,0
2084,0
157,0
1131,0
2652,1
3724,0
800,0
1337,1
2322,0
3023,0
2843,1
1578,0
1020,0
1590,1
316,1
3936,0
1935,0
26,0
1843,0
3969,0
3490,0
49,0
2731,0
2386,1
752,1
178,0
2830,1
1445,0
947,0
996,0
3160,1
3021,1
2572,0
2997,1
2212,0
1802,1
1755,0
2923,1
2007,1
1998,0
2573,1
2291,0
3907,0
2299,1
565,1
1466,0
2417,1
769,0
455,1
589,1
1540,0
2605,0
2646,1
1893,0
98,1
35,0
1891,1
1593,0
3971,1
2426,1
3453,0
2380,1
3340,0
3327,0
391,1
2625,0
3732,0
3753,0
2992,0
3209,0
3479,1
2871,0
818,0
229,1
2446,0
350,0
937,0
179,1
381,0
3992,0
718,1
2277,0
1604,0
2900,0
2877,0
3410,0
214,1
1359,1
881,0
3658,1
1877,0
1484,0
838,0
888,0
452,0
1111,0
3259,0
810,0
3735,0
843,0
3328,1
417,0
1501,0
1942,1
457,1
846,1
1547,1
2577,1
2561,0
1626,1
2364,0
2804,0
1346,0
168,1
578,1
3295,0
2079,0
2881,0
3120,0
3539,0
3270,0
2797,0
2502,0
3784,0
2408,0
3871,0
2145,0
2726,1
2740,1
3347,1
2562,1
1463,1
2915,1
3501,0
3006,0
1864,1
1691,1
3364,0
611,0
3886,0
1374,0
2251,1
579,1
180,1
371,0
1025,1
480,0
2115,0
3795,1
1094,0
3981,0
700,1
3865,1
2887,1
537,0
1662,0
2901,0
676,0
2326,0
3853,0
2025,0
2410,1
3566,0
1068,0
1803,1
2589,1
2318,0
1523,0
3210,1
181,0
2048,1
2141,0
3416,0
2001,0
1332,0
1920,0
1771,0
2295,0
1841,0
2953,0
206,0
2509,0
3125,0
1143,0
1940,0
1829,0
820,0
3572,0
2507,0
2975,0
1809,0
3855,0
868,0
1434,0
3536,0
3035,0
563,1
666,0
617,0
11,0
3406,0
1735,1
150,0
1108,1
2231,0
1740,1
2616,0
3162,1
1471,0
3188,1
2885,0
3807,1
2142,1
37,0
585,1
2838,1
2574,1
643,0
1995,1
3351,0
708,0
2994,0
2070,0
403,1
2612,0
118,1
1956,0
2339,0
1850,1
981,0
968,0
3950,1
583,0
413,0
1323,0
713,1
1293,0
2692,0
2028,1
3830,1
538,0
1205,0
851,0
1968,1
568,1
2045,1
3779,0
138,1
3832,0
105,0
917,1
1090,0
2143,0
274,1
3947,1
142,0
3961,1
965,0
2679,1
3719,1
2351,1
2564,1
156,1
2552,0
3670,1
1213,0
2005,1
2863,1
1140,0
1638,0
1667,0
2676,0
283,1
977,1
3222,0
1743,0
3274,1
896,1
3676,0
1922,0
2870,0
3411,1
74,0
1351,0
2213,1
3001,0
1912,1
2189,0
2961,1
2873,0
3208,1
1748,0
1657,0
624,1
3802,1
115,0
1639,0
3343,0
763,0
1027,1
3767,0
263,1
2250,1
711,0
280,0
372,0
3617,0
520,0
1566,0
777,1
2042,0
1909,0
656,1
2479,0
1883,0
1791,1
1240,0
2540,0
147,1
122,1
3743,0
2597,1
483,1
1975,1
30,0
793,0
2207,1
1862,0
1709,1
2424,0
493,0
1869,0
3314,1
144,0
3481,1
577,0
3734,0
3703,0
3106,0
3354,0
325,1
1952,1
1996,1
693,0
332,0
3029,1
3545,1
2842,1
2586,0
1964,0
3127,0
95,0
3707,1
3844,0
309,0
419,1
3828,0
1999,0
3091,1
2159,0
342,0
755,1
535,1
2535,0
3585,0
3959,1
3457,1
1241,1
964,1
3843,0
2728,0
2931,1
2933,1
574,1
3034,0
849,1
3590,1
2766,0
2951,0
1376,0
264,1
2225,1
1129,0
2968,1
1341,0
10,0
1736,0
3126,0
681,0
374,0
1906,0
2476,1
2759,0
3325,1
527,0
1152,0
2527,1
2514,0
1057,0
3071,0
3628,1
3418,0
2397,0
506,0
3814,1
3546,1
2716,1
582,1
2996,1
3551,0
3727,0
3366,0
3990,0
259,1
2853,1
416,1
3840,0
169,1
2368,0
2579,0
661,1
3076,0
3610,0
2026,0
2019,0
1185,0
3744,0
1226,0
2542,1
1103,1
595,0
2451,1
3978,0
1567,0
1422,1
2701,0
1785,0
2283,0
3940,0
2629,0
665,0
1518,0
2754,1
2330,0
1121,0
333,1
2247,0
3281,0
1116,0
3016,1
2809,0
784,0
1918,1
524,0
2810,0
1746,1
2633,0
902,1
2405,0
3271,1
3036,0
1529,0
2651,0
1078,1
3798,0
1695,1
1431,0
1600,1
408,1
498,0
3118,0
2223,1
2017,0
2986,0
216,1
1450,0
2121,1
353,0
3339,1
2490,1
275,1
3517,1
934,1
3425,1
2556,0
3165,0
679,0
1773,0
3087,0
1915,1
2332,0
318,0
1175,0
2240,0
2517,1
1117,1
3124,0
3607,1
376,1
2645,1
3890,1
3485,1
2146,0
3864,1
3466,0
1381,0
173,1
2978,1
3110,0
432,1
2495,1
2709,0
2768,1
